"f1","borough","ifo_busine","applicant","year","location","from_","to","site_visit","structure","structur_1","structur_2","establishm","parking_re","applicatio","community_board","_2019_insta","_2019_remov","latitude","longitude","postcode","council_district","census_tract","bin","bbl","nta","geocoded_column"
"1","BK","Erv's on Beekman","Owner","2019","2122 Beekman Place",,"N/A","2018-06-20T00:00:00.000","Platform","Custom","20'","40'","Street Cleaning","Yes","309","1899-12-31T00:00:00.000",,"40.66001","-73.960825","11225","40","79802","3114599","3050260095","Prospect Lefferts Gardens-Wingate","POINT (-73.960825 40.66001)"
"2","BK","Pokeworks","Pokeworks","2019","258 7th Avenue",,"6th Street","2018-10-17T00:00:00.000","Platform",,"20'","19-6""","Metered parking & No Parking Anytime","Yes","306","2019-05-29T00:00:00.000",,"40.669133","-73.979727","11215","39","153","3021507","3009890043","Park Slope-Gowanus","POINT (-73.979727 40.669133)"
"3","BK","Sal & Paul Pizzeria","Pitkin Avenue BID","2015","1686 Pitkin Avenue",,"Rockaway Avenue","2014-06-01T00:00:00.000","Platform","Standard Design Protype Install","20 Feet","20 Feet","Metered Parking M- Sat; 9am- 7pm & Street CleaningM- Sat; 8-8:30am","Yes","316","2019-05-23T00:00:00.000",,"40.66963","-73.911055","11212","41","924","3081050","3035210040","Brownsville","POINT (-73.911055 40.66963)"
"4","BK","SkyIce & DB Smoke Shop","Owner","2016","63 5th Avenue",,"St Marks Avenue","2016-01-22T00:00:00.000","Platform","Standard","20 feet","19'","St. Cleaning M-Sat 7:30-8am; Metered parking 8-7pm M-Sat","Yes","306","2019-04-25T00:00:00.000",,"40.680767","-73.977499","11217","39","12902","3018705","3009350009","Park Slope-Gowanus","POINT (-73.977499 40.680767)"
"5","BK","Barber Shop","FAB Alliance","2019","462 Grand Avenue",,"Lefferts Place","2019-02-06T00:00:00.000","Platform","Standard","20'","X'","Street Cleaning","Yes","302","2019-05-24T00:00:00.000",,"40.682182","-73.961584","11238","35","201","3057641","3020140033","Clinton Hill","POINT (-73.961584 40.682182)"
"6","BK","BRIC","BRIC","2016","647 Fulton Street",,"Ashland Place","2016-07-26T00:00:00.000","Platform","Standard non platform","20 feet","X'","St Cleaning T/Th/Sat Mid- 3am","Yes","302","1899-12-31T00:00:00.000",,"40.688236","-73.979212","11217","35","33","3058597","3020950001","Fort Greene","POINT (-73.979212 40.688236)"
"7","BK","Golden Fried Dumpling","Downtown Brooklyn Partnership","2014","192 Duffield Street",,"MetroTech Roadway","2014-07-06T00:00:00.000","Platform","Custom","40 Feet","32'-10""","No Standing Zone","Yes","302","2019-04-24T00:00:00.000",,"40.692607","-73.984328","11201","33","15","3058227","3020580046","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","POINT (-73.984328 40.692607)"
"8","BK","Khim's Millenium Market","Downtown Brooklyn Partnership","2014","111 Lawrence Street",,"MetroTech Roadway","2014-07-06T00:00:00.000","Platform","Custom","40 Feet",,"No Standing Zone","Yes","302","2019-04-24T00:00:00.000",,"40.692829","-73.986228","11201","33","11","3397012","3001480001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","POINT (-73.986228 40.692829)"
"9","BK","Office Building","RFR Realty LLC","2017","117 Adams & 73 Sand Street",,"Jay Street","2016-04-01T00:00:00.000","Sidewalk","Sidewalk","300'","1000'","N/A","Yes",,"1899-12-31T00:00:00.000",,"40.700095","-73.987644",,,,,,,"POINT (-73.987644 40.700095)"
"10","MN","Les Enfants de Boheme","Co-owners","2015","177 Henry Street",,"East Broadway","2015-01-29T00:00:00.000","Platform","Custom","40 feet","60 feet","No Standing Anytime at corner; Street cleaning M-Th 11-12:30pm","Yes","103","2019-05-06T00:00:00.000",,"40.7135","-73.988829","10002","1","6","1003614","1002840011","Lower East Side","POINT (-73.988829 40.7135)"
"11","MN","Laughing Man Coffee & Tea","Owner","2015","184 Duane Street",,"Greenwich Street","2016-12-21T00:00:00.000","Platform","Custom","44 feet","42 Feet","No parking  Anytime (going west) & No Standing except Trucks 7am- 7pm, except Sunday","Yes","101","2019-03-18T00:00:00.000",,"40.717403","-74.010245","10013","1","39","1075718","1001417502","SoHo-TriBeCa-Civic Center-Little Italy","POINT (-74.010245 40.717403)"
"12","MN","Multiple","LES BID","2019","85 Orchard Street",,"Grand Street","2017-11-29T00:00:00.000","Non Platform","Hybrid","270'","200'","Street Cleaning M/W/F; 2 hr metered parking M- Sat 9am-7pm","Yes","103","1899-12-31T00:00:00.000",,"40.717873","-73.990375","10002","1","18","1005447","1004130043","Chinatown","POINT (-73.990375 40.717873)"
"13","MN","Summers","Summers","2019","169 Thompson Street",,"Bleeker Street","2018-04-05T00:00:00.000","Platform","Standard","20'",,"Street Cleaning","Yes","102","1899-12-31T00:00:00.000",,"40.727656","-74.000336","10012","3","65","1077793","1005250024","West Village","POINT (-74.000336 40.727656)"
"14","MN","Le Pain Quotidien","Hudson Square BID","2019","375 Hudson Street",,"Greenwich Street","2019-01-25T00:00:00.000","Platform","Standard","40'","X'","NYP License Plate Only","Yes","102","2019-05-15T00:00:00.000",,"40.728435","-74.007151","10014","3","37","1010379","1005990064","SoHo-TriBeCa-Civic Center-Little Italy","POINT (-74.007151 40.728435)"
"15","MN","New School","New School Professor","2015","65 5th Avenue",,"E14th Street","2015-01-20T00:00:00.000","Platform","Custom","40 feet","40 Feet","No Standing Anytime; No Parking Anytime","Yes","102","2019-05-01T00:00:00.000",,"40.735656","-73.993859","10003","2","61","1088879","1005710001","West Village","POINT (-73.99385900000001 40.735656)"
"16","MN","Under Line Coffee","Owner","2016","511-513 W 20th Street",,"11th Avenue","2016-02-23T00:00:00.000","Non Platform","Custom","20 feet","25'","Commerical Parking. No Parking M-F 8am-6pm","Yes","104","2019-06-01T00:00:00.000",,"40.746202","-74.006428","10011","3","99","1012297","1006920027","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-74.006428 40.746202)"
"17","Qns","Rockrose","Rockrose","2019","26-01 Jackson Avenue",,"43rd Avenue","2018-05-09T00:00:00.000","Platform","Custom","20'","72'","Metered parking","Yes","402","1899-12-31T00:00:00.000",,"40.747228","-73.942122","11101","26","19","4617191","4004337501","Hunters Point-Sunnyside-West Maspeth","POINT (-73.942122 40.747228)"
"18","Qns","Wire Cutters","The Vorea Group","2019","12-01 44th Avenue",,"43rd Road","2018-08-27T00:00:00.000","Non Platform","Custom","175'","235'","N/A","Yes","402","1899-12-31T00:00:00.000",,"40.749857","-73.948429","11101","26","19","4005205","4004430010","Hunters Point-Sunnyside-West Maspeth","POINT (-73.948429 40.749857)"
"19","MN","Lemony / Yuva / 2 Bros Pizza","Garment District","2017","224 W 35th St",,"8th Avenue","2018-04-17T00:00:00.000","Platform","Custom","20'","100","3 hour metered parking, Commercial","Yes","105","2019-05-07T00:00:00.000",,"40.752034","-73.991053","10001","3","109","1014414","1007840060","Midtown-Midtown South","POINT (-73.991053 40.752034)"
"20","MN","Fresh & Co","Fresh & Co","2019","444 10th Avenue",,"W35th Street","2018-02-06T00:00:00.000","Non Platform","Standard",,,,"Yes","104","2019-06-01T00:00:00.000",,"40.755062","-73.998787","10001","3","111","1089382","1007320070","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.998787 40.755062)"
"21","MN","Brooklyn Fare","Brooklyn Fare","2016","431 W 37th Street",,"10th Avenue","2016-03-08T00:00:00.000","Platform","Standard","20 feet","100'","No Standing Except Trucks 7am-7pm Except Sundays",,"104","1899-12-31T00:00:00.000",,"40.755951","-73.996463","10018","3","111","1088683","1007350017","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.996463 40.755951)"
"22","MN","Deli","Hudson Yards Hells Kitchen BID","2018","456 W37th Street",,"9th Avenue","2017-11-08T00:00:00.000","Platform","Standard","20'","78'","Loading Zone","Yes","104","1899-12-31T00:00:00.000",,"40.756099","-73.996856","10018","3","111","1012895","1007340066","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.996856 40.756099)"
"23","MN","Bird & branch","Bird & branch","2018","359 W 45th Street",,"9th Avenue","2018-03-23T00:00:00.000","Platform","Standard","20'","23'","Metered parking","Yes","104","2019-03-04T00:00:00.000",,"40.759843","-73.98999","10036","3","121","1025002","1010360001","Clinton","POINT (-73.98999 40.759843)"
"24","BX","Freshly Made","Freshly Made","2019","2535 Third Avenue",,"E138th Street","2018-08-29T00:00:00.000","Non Platform","Standard","95'","20'","Metered parking","Yes","201","2019-05-02T00:00:00.000",,"40.810831","-73.927621","10451","8","51","2000803","2023200077","Mott Haven-Port Morris","POINT (-73.927621 40.810831)"
