"fy","agency","organization_name","project_title","amount_requested","funded_amount","community_board","organization_address","city","state","postcode","borough","latitude","longitude","council_district","nta","census_tract","bin","bbl"
"14","BBH","One Brooklyn Fund/Brooklyn Arts Council","Destination: Brooklyn","52000.00","52000.00","2","20 Jay St #616","Brooklyn","New York","11201","BROOKLYN","40.704102","-73.987068","33","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","21","3000010","3000190001"
"14","BBH","One Brooklyn Fund/Brooklyn Book Festival","Brooklyn Book Festival","91000.00","91000.00","6","249 Smith St #106","Brooklyn","New York","11231","BROOKLYN","32.843800","-85.752000","33","Carroll Gardens-Columbia Street-Red Hook","75","3006697","3004150008"
"15","BBH","One Brooklyn Fund","Arts and Culture Events: International Day of Friendship, Lunchtime Summer Concert, Taste of Brooklyn","27750.00","25000.00","2","209 Joralemon Street","Brooklyn","New York","11201","BROOKLYN","40.692630","-73.990540","33","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","11","3000256","3001390001"
"15","BBH","One Brooklyn Fund","Tourism Website Development","2500.00","2500.00","2","209 Joralemon Street","Brooklyn","New York","11201","BROOKLYN","40.692630","-73.990540","33","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","11","3000256","3001390001"
"15","BBH","One Brooklyn Fund/Brooklyn Arts Council","Destination: Brooklyn","37000.00","37000.00","2","20 Jay St #616","Brooklyn","New York","11201","BROOKLYN","40.704102","-73.987068","33","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","21","3000010","3000190001"
"15","BBH","One Brooklyn Fund/Brooklyn Book Festival","Brooklyn Book Festival","5000.00","5000.00","6","249 Smith St #106","Brooklyn","New York","11231","BROOKLYN","32.843800","-85.752000","33","Carroll Gardens-Columbia Street-Red Hook","75","3006697","3004150008"
"16","BBH","One Brooklyn Fund","Arts and Culture, New Year's Eve, International Day of Friendship","57000.00","57000.00","2","209 Joralemon Street","Brooklyn","New York","11201","BROOKLYN","40.692630","-73.990540","33","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","11","3000256","3001390001"
"16","BBH","One Brooklyn Fund/Brooklyn Arts Council","Destination: Brooklyn","38000.00","38000.00","2","20 Jay St #616","Brooklyn","New York","11201","BROOKLYN","40.704102","-73.987068","33","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","21","3000010","3000190001"
"16","BBH","One Brooklyn Fund/Brooklyn Book Festival","Brooklyn Book Festival","5000.00","5000.00","6","249 Smith St #106","Brooklyn","New York","11231","BROOKLYN","32.843800","-85.752000","33","Carroll Gardens-Columbia Street-Red Hook","75","3006697","3004150008"
"17","BBH","One Brooklyn Fund","Arts and Culture, New Year's Eve, International Day of Friendship","67500.00","67500.00","2","209 Joralemon Street","Brooklyn","New York","11201","BROOKLYN","40.692630","-73.990540","33","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","11","3000256","3001390001"
"17","BBH","One Brooklyn Fund/Brooklyn Arts Council","Destination: Brooklyn","24500.00","24500.00","2","20 Jay St #616","Brooklyn","New York","11201","BROOKLYN","40.704102","-73.987068","33","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","21","3000010","3000190001"
"17","BBH","One Brooklyn Fund/Brooklyn Book Festival","Brooklyn Book Festival","5000.00","5000.00","6","249 Smith St #106","Brooklyn","New York","11231","BROOKLYN","32.843800","-85.752000","33","Carroll Gardens-Columbia Street-Red Hook","75","3006697","3004150008"
"17","BBH","One Brooklyn Fund/Arts East New York","Arts East New York","3000.00","3000.00","5","534 Livonia Ave","Brooklyn","New York","11207","BROOKLYN","40.664040","-73.897820","42","East New York (Pennsylvania Ave)","1130","3418180","3038197501"
"18","BBH","One Brooklyn Fund","Arts and Culture, New Year's Eve, International Day of Friendship","67000.00","67000.00","2","209 Joralemon Street","Brooklyn","New York","11201","BROOKLYN","40.692630","-73.990540","33","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","11","3000256","3001390001"
"18","BBH","One Brooklyn Fund/Brooklyn Arts Council","Destination: Brooklyn","25000.00","25000.00","2","20 Jay St #616","Brooklyn","New York","11201","BROOKLYN","40.704102","-73.987068","33","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","21","3000010","3000190001"
"18","BBH","One Brooklyn Fund/Brooklyn Book Festival","Brooklyn Book Festival","5000.00","5000.00","6","249 Smith St #106","Brooklyn","New York","11231","BROOKLYN","32.843800","-85.752000","33","Carroll Gardens-Columbia Street-Red Hook","75","3006697","3004150008"
"18","BBH","One Brooklyn Fund/Arts East New York","Arts East New York","3000.00","3000.00","5","534 Livonia Ave","Brooklyn","New York","11207","BROOKLYN","40.664040","-73.897820","42","East New York (Pennsylvania Ave)","1130","3418180","3038197501"
"19","BBH","One Brooklyn Fund","Arts and Culture, New Year's Eve, International Day of Friendship","55000.00","55000.00","2","209 Joralemon Street","Brooklyn","New York","11201","BROOKLYN","40.692630","-73.990540","33","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","11","3000256","3001390001"
"19","BBH","One Brooklyn Fund/Brooklyn Arts Council","Destination: Brooklyn","25000.00","25000.00","2","20 Jay St #616","Brooklyn","New York","11201","BROOKLYN","40.704102","-73.987068","33","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","21","3000010","3000190001"
"19","BBH","One Brooklyn Fund/Brooklyn Book Festival","Brooklyn Book Festival","5000.00","5000.00","6","249 Smith St #106","Brooklyn","New York","11231","BROOKLYN","32.843800","-85.752000","33","Carroll Gardens-Columbia Street-Red Hook","75","3006697","3004150008"
"19","BBH","One Brooklyn Fund/Bushwick Film Institute","Bushwick Film Festival","5000.00","5000.00","1","100 Bogart Street 3rd Floor","Brooklyn","New York","11206","BROOKLYN","40.707270","-73.933590","34","Bushwick North","453","3071317","3030750002"
"19","BBH","One Brooklyn Fund/ DreamMaker DreamDoer DreamSupporter, Inc.","TIDE (truth, intent, disrupt, entitle) Film Festival","5000.00","5000.00","2","42 Main Street, 5C","Brooklyn","New York","11201","BROOKLYN","31.443040","-86.949020","33","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","21","3000085","3000367502"
"19","BBH","One Brooklyn Fund/Make Music New York","Wingate Concert Series","5000.00","5000.00","2","33 Flatbush Avenue, 5th Floor","Brooklyn","New York","11217","BROOKLYN","40.687740","-73.979680","35","Fort Greene","33","3059162","3021060016"
